"Date","Win10","Win11","Win7","Win8.1","Win8","WinXP","WinVista","Win2003","Other"
2022-02,75.47,7.89,11.98,2.87,1.08,0.52,0.18,0.01,0.01
2022-03,74.82,8.45,12.11,3.01,0.92,0.44,0.21,0.01,0.01
2022-04,73.12,8.91,12.67,3.25,1.26,0.44,0.32,0.02,0.01
2022-05,71.82,10.08,13.03,3.06,1.36,0.39,0.23,0.02,0.01
2022-06,73.45,10.96,11.54,2.83,0.67,0.39,0.14,0.01,0.01
2022-07,72.22,11.77,11.96,2.87,0.66,0.38,0.13,0.01,0
2022-08,71.91,13.08,11.04,2.79,0.64,0.38,0.14,0.01,0
2022-09,71.88,13.61,10.63,2.68,0.66,0.38,0.13,0.02,0
2022-10,71.26,15.45,9.62,2.45,0.69,0.39,0.12,0.01,0
2022-11,69.75,16.13,10.25,2.53,0.79,0.4,0.13,0.01,0.01
2022-12,67.95,16.97,11.2,2.6,0.66,0.49,0.11,0.02,0.01
2023-01,68.86,18.12,9.55,2.28,0.62,0.45,0.1,0.01,0.01
2023-02,73.31,19.13,5.34,1.14,0.52,0.46,0.09,0.01,0
